l_neighborhood,l_borough,l_boroughId,l_neighborhoodId,l_pickups
Allerton,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Allerton,53
Alley Pond Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Alley_Pond_Park,1
Arden Heights,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arden_Heights,1
Arlington,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arlington,0
Arrochar,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arrochar,2
Arverne,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Arverne,1
Astoria,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Astoria,1472
Bath Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bath_Beach,55
Battery Park City,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Battery_Park_City,5717
Bay Ridge,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Ridge,338
Bay Terrace,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,28
"Bay Terrace, Staten Island",Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace_Staten_Island,1
Baychester,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Baychester,15
Bayside,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bayside,114
Bayswater,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bayswater,2
Bedford-Stuyvesant,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,4621
Belle Harbor,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Belle_Harbor,0
Bellerose,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bellerose,23
Belmont,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Belmont,143
Bensonhurst,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,103
Bergen Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach,34
Bloomfield,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bloomfield,0
Boerum Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Boerum_Hill,1592
Borough Park,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Borough_Park,241
Breezy Point,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Breezy_Point,2
Briarwood,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Briarwood,41
Brighton Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brighton_Beach,104
Broad Channel,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Broad_Channel,1
Bronx Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Bronx_Park,86
Bronxdale,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Bronxdale,26
Brooklyn Heights,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brooklyn_Heights,2585
Brownsville,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brownsville,210
Bull's Head,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bull_s_Head,8
Bushwick,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick,2467
Cambria Heights,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Cambria_Heights,23
Canarsie,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Canarsie,195
Carroll Gardens,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Carroll_Gardens,1615
Castle Hill,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Castle_Hill,7
Castleton Corners,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Castleton_Corners,5
Central Park,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Central_Park,3802
